Date,Employment (in thousands),Monthly change (in thousands),M/M Annualized Pct Change,Dec/Dec Pct Change
Jan-90,453.3,,,
Feb-90,456.8,3.5,9.5,
Mar-90,457.1,0.4,1.0,
Apr-90,457.4,0.3,0.7,
May-90,458.4,1.0,2.5,
Jun-90,460.5,2.1,5.7,
Jul-90,462.2,1.7,4.6,
Aug-90,464.1,1.9,5.1,
Sep-90,463.3,-0.8,-2.0,
Oct-90,464.2,0.8,2.1,
Nov-90,466.0,1.8,4.8,
Dec-90,466.4,0.5,1.2,
Jan-91,468.4,2.0,5.2,
Feb-91,467.3,-1.1,-2.8,
Mar-91,467.7,0.4,1.1,
Apr-91,468.1,0.4,1.0,
May-91,470.0,1.8,4.8,
Jun-91,470.8,0.9,2.2,
Jul-91,471.4,0.6,1.6,
Aug-91,474.3,2.9,7.6,
Sep-91,475.4,1.0,2.7,
Oct-91,477.4,2.0,5.2,
Nov-91,477.8,0.5,1.2,
Dec-91,477.7,-0.1,-0.3,2.4
Jan-92,477.3,-0.4,-1.0,
Feb-92,479.0,1.7,4.4,
Mar-92,480.2,1.1,2.9,
Apr-92,484.1,3.9,10.3,
May-92,485.0,0.9,2.3,
Jun-92,485.6,0.6,1.4,
Jul-92,484.4,-1.1,-2.8,
Aug-92,484.1,-0.4,-1.0,
Sep-92,485.7,1.6,4.1,
Oct-92,487.9,2.3,5.7,
Nov-92,488.7,0.8,2.1,
Dec-92,489.4,0.7,1.7,2.5
Jan-93,492.4,3.0,7.5,
Feb-93,493.4,1.0,2.5,
Mar-93,493.7,0.3,0.8,
Apr-93,496.4,2.7,6.8,
May-93,495.4,-1.0,-2.5,
Jun-93,497.6,2.2,5.5,
Jul-93,501.4,3.8,9.6,
Aug-93,501.4,-0.1,-0.2,
Sep-93,503.8,2.4,5.8,
Oct-93,503.0,-0.7,-1.7,
Nov-93,503.7,0.7,1.6,
Dec-93,504.2,0.5,1.2,3.0
Jan-94,506.2,2.0,4.9,
Feb-94,507.4,1.2,2.8,
Mar-94,510.5,3.1,7.5,
Apr-94,513.9,3.5,8.4,
May-94,514.4,0.4,1.0,
Jun-94,515.1,0.8,1.8,
Jul-94,516.8,1.6,3.9,
Aug-94,518.3,1.5,3.5,
Sep-94,519.5,1.2,2.8,
Oct-94,520.4,1.0,2.3,
Nov-94,523.0,2.6,6.1,
Dec-94,523.4,0.4,0.9,3.8
Jan-95,523.4,0.0,-0.1,
Feb-95,526.7,3.3,7.8,
Mar-95,529.5,2.8,6.6,
Apr-95,529.5,0.0,0.0,
May-95,532.2,2.7,6.3,
Jun-95,533.7,1.5,3.4,
Jul-95,535.6,2.0,4.5,
Aug-95,537.5,1.9,4.2,
Sep-95,539.8,2.4,5.4,
Oct-95,542.0,2.2,5.0,
Nov-95,542.8,0.8,1.8,
Dec-95,545.7,2.9,6.6,4.3
Jan-96,548.1,2.4,5.4,
Feb-96,549.1,0.9,2.1,
Mar-96,550.6,1.5,3.4,
Apr-96,551.5,0.9,2.0,
May-96,553.7,2.2,4.8,
Jun-96,554.4,0.7,1.6,
Jul-96,555.9,1.5,3.3,
Aug-96,558.6,2.7,5.9,
Sep-96,559.5,0.9,2.0,
Oct-96,561.7,2.2,4.8,
Nov-96,564.0,2.3,5.1,
Dec-96,563.9,-0.1,-0.2,3.3
Jan-97,564.1,0.1,0.3,
Feb-97,566.2,2.2,4.7,
Mar-97,570.9,4.7,10.4,
Apr-97,573.7,2.8,6.0,
May-97,576.4,2.7,5.8,
Jun-97,578.3,1.9,4.0,
Jul-97,582.4,4.1,8.8,
