TAD Map,Document Number,SiteNumber,PIN,GeoCd,SaleDate,SalePrice,LandSizeSF,SalePricePSF,LandSizeAc,SalePricePAC,Confidenti,NumberOfPINs
1982-464,D222239942,4504402,4504402,A1022P-5-10,09/30/2022,925000.0,99752.0,9.27,2.29,403930.0,,1
1994-416,D221165252,800060590,42727918,A   5-1A03,06/09/2021,15000.0,30971.0,0.48,0.711,21097.0,,1
1994-420,D221165252,800060590,42727918,A   5-1A03,06/09/2021,15000.0,30971.0,0.48,0.711,21097.0,,1
2000-384,D221281971,80240909,3452360,46190-6-21,09/24/2021,50000.0,10850.0,4.61,0.249,200737.0,,1
2006-384,D222153943,80461387,5302072,46075-26-B5,06/15/2022,450000.0,125884.0,3.57,2.89,155715.0,,1
2012-380,D222069306,80172504,2386895,34250-18-2A,03/15/2022,625000.0,260924.0,2.4,5.99,104341.0,,1
2012-384,D222135203,800044482,42544589,3640-3-15R,05/25/2022,90000.0,24281.0,3.71,0.557,161460.0,,1
2018-396,D222197599,800016768,42204052,40020-1-3R,08/05/2022,1090600.0,61115.0,17.85,1.403,777334.0,,1
2018-396,D221255431,800036629,42430451,46457B-1-1,08/30/2021,350000.0,51315.0,6.82,1.178,297106.0,,1
2024-396,D222197599,800016768,42204052,40020-1-3R,08/05/2022,1090600.0,61115.0,17.85,1.403,777334.0,,1
2024-396,D222009729,800060695,42151617,21336-1-1,01/07/2022,450000.0,68825.0,6.54,1.58,284810.0,,1
2024-412,D221350473,80878198,41480767,37440-1-1R,12/01/2021,300000.0,87821.0,3.42,2.016,148803.0,,2
2030-404,D221156123,80179061,2488809,34880-15-5R1,06/01/2021,79000.0,48893.0,1.62,1.122,70383.0,,1
2036-324,D221310489,80843808,4219635,A1547-1E,10/21/2021,1025000.0,884834.0,1.16,20.313,50460.0,,1
2036-328,D221310489,80843808,4219635,A1547-1E,10/21/2021,1025000.0,884834.0,1.16,20.313,50460.0,,1
2036-404,D221129379,80462634,4515234,A1889-5,05/06/2021,310000.0,262101.0,1.18,6.017,51521.0,,7
2036-408,D221129379,80462634,4515234,A1889-5,05/06/2021,310000.0,262101.0,1.18,6.017,51521.0,,7
2036-428,D221113958,80465323,5310989,A1849-4C,04/20/2021,485000.0,168839.0,2.87,3.876,125128.0,,2
2042-328,D222211238,80879205,4245210,A1618-2B,08/23/2022,47500.0,79322.0,0.6,1.821,26085.0,,2
2042-372,D221379872,80106706,1350889,19080-6-12,12/30/2021,200000.0,42600.0,4.69,0.978,204507.0,,4
2042-380,D221008162,80159567,2127601,31620-9-10,01/11/2021,20000.0,24829.0,0.81,0.57,35088.0,,1
2042-392,D222077761,80226760,3251225,44450-16-1,03/24/2022,510000.0,12500.0,40.8,0.287,1777248.0,,4
2042-404,D222120408,80089402,1078372,15780-217-31-30,05/03/2022,900000.0,13720.0,65.6,0.315,2857434.0,,2
2042-404,D222099037,80150438,1922858,12600-167-1B,04/15/2022,995000.0,23681.0,42.02,0.544,1830252.0,,3
2042-412,D221047194,80066429,839299,12600-82-6,01/28/2021,40000.0,7000.0,5.71,0.161,248914.0,,1
2042-416,D222216417,80081290,41506413,14570-10-5R1,08/31/2022,100000.0,141090.0,0.71,3.239,30874.0,,1
2048-348,D222085815,80871985,41360168,40961-A-2,04/01/2022,1352538.0,248728.0,5.44,5.71,236871.0,,1
2048-392,D221349337,80115705,1456326,21640-18-7,11/30/2021,450000.0,12000.0,37.5,0.275,1633500.0,,2
2054-348,D222085815,80871985,41360168,40961-A-2,04/01/2022,1352538.0,248728.0,5.44,5.71,236871.0,,1
2054-376,D222149847,800038597,42453079,36900-22-3R,04/29/2022,55000.0,10720.0,5.13,0.246,223489.0,,1
2054-396,D221008808,80865079,40680614,25000-6-2R,01/07/2021,1100000.0,50878.0,21.62,1.168,941782.0,,1
2054-452,D221338787,800018102,42197111,17829F-1-3,11/17/2021,731832.0,77015.0,9.5,1.768,413927.0,,2
2060-348,D221342978,80329241,4147855,A1375-9J01,11/09/2021,10000.0,45477.0,0.22,1.044,9578.0,,1
2060-456,D222155488,800027853,42245271,8652B-1-2R1R,06/16/2022,783840.0,54058.0,14.5,1.241,631619.0,,1
2060-460,D222155488,800027853,42245271,8652B-1-2R1R,06/16/2022,783840.0,54058.0,14.5,1.241,631619.0,,1
2066-360,D222001770,80431356,4882393,A1031-3E04C,01/03/2022,187000.0,46916.0,3.99,1.077,173623.0,,1
2066-388,D222261589,80325343,4124200,A1287-9,11/01/2022,50000.0,66973.0,0.75,1.537,32521.0,,2
2066-460,D221236956,800059636,42717904,45332-1-33,08/11/2021,1026320.0,102632.0,10.0,2.356,435600.0,,1
2072-360,D222001770,80431356,4882393,A1031-3E04C,01/03/2022,187000.0,46916.0,3.99,1.077,173623.0,,1
2072-368,D221019514,80320287,4095006,A1223-6,01/22/2021,200000.0,533610.0,0.37,12.25,16327.0,,1
2072-380,D221326000,80664253,6557414,10790-1-AR6,11/03/2021,65000.0,62726.0,1.04,1.44,45139.0,,1
2072-384,D221363791,80107745,1363212,19240-1-3,12/13/2021,49000.0,6300.0,7.78,0.145,338800.0,,1
2072-404,D222254432,80085083,1029843,15050--36,10/19/22,32000.0,22908.0,1.4,0.526,60849.0,,1
2078-412,D222056818,800072118,42792167,34120-8-1,03/02/2022,105000.0,33159.0,3.17,0.761,137935.0,,1
2078-432,D221097986,80510027,5941539,A1753-1A03,04/09/2021,385000.0,75793.0,5.08,1.74,221268.0,,1
2078-436,D221307463,80531032,6069339,34062-7-1,10/20/2021,31700.0,35999.0,0.88,0.826,38358.0,,1
2084-420,D222077519,80062636,818550,11040--7,03/23/2022,75000.0,28137.0,2.67,0.646,116110.0,,1
2084-420,D221306972,80882128,395935,6125-A-5A,10/14/2021,120000.0,22393.0,5.36,0.514,233430.0,,1
2090-332,D223053882,800076186,42895381,2409-1-11,03/30/2023,275000.0,100058.0,2.75,2.297,119721.0,,1
2090-344,D222260063 CWD,80319890,4091957,A1214-2A,10/28/2021,451500.0,468270.0,0.96,10.75,42000.0,,1
2090-456,D221128612,80255884,3717763,A  18-6C02,05/05/2021,900000.0,245678.0,3.66,5.64,159575.0,,4
2096-328,D221211403,800051006,41397177,39725F-1-7,07/23/2021,190000.0,68128.0,2.79,1.564,121483.0,,1
2096-392,D221206630,800067183,6108210,10405-3-2,07/16/2021,150000.0,41382.0,3.62,0.95,157895.0,,1
2096-412,D222182512,80872414,4247469,A1626-4C,12/03/2021,80000.0,34727.0,2.3,0.797,100348.0,,1
2096-456,D221128612,80255884,3717763,A  18-6C02,05/05/2021,900000.0,245678.0,3.66,5.64,159575.0,,4
2108-340,D221267233,80374395,40357139,17275--54A,09/09/2021,614472.0,75294.0,8.16,1.729,355492.0,,1
2108-344,D222223182,80792014,7161700,17275--28,09/02/2022,615000.0,64847.0,9.48,1.489,413117.0,,2
