TAD Map,Document Number,SiteNumber,PIN,GeoCd,SaleDate,SalePrice,LandSizeSF,SalePricePSF,LandSizeAc,SalePricePAC,Confidenti,NumberOfPINs
1982-464,D222239942,4504402,4504402,A1022P-5-10,09/30/2022,"$925,000.00","99,752",$9.27,2.290,"$403,930.00",,1
1994-416,D221165252,800060590,42727918,A   5-1A03,06/09/2021,"$15,000.00","30,971",$0.48,0.711,"$21,097.00",,1
1994-420,D221165252,800060590,42727918,A   5-1A03,06/09/2021,"$15,000.00","30,971",$0.48,0.711,"$21,097.00",,1
2000-384,D221281971,80240909,3452360,46190-6-21,09/24/2021,"$50,000.00","10,850",$4.61,0.249,"$200,737.00",,1
2006-384,D222153943,80461387,5302072,46075-26-B5,06/15/2022,"$450,000.00","125,884",$3.57,2.890,"$155,715.00",,1
2012-380,D222069306,80172504,2386895,34250-18-2A,03/15/2022,"$625,000.00","260,924",$2.40,5.990,"$104,341.00",,1
2012-384,D222135203,800044482,42544589,3640-3-15R,05/25/2022,"$90,000.00","24,281",$3.71,0.557,"$161,460.00",,1
2018-396,D222197599,800016768,42204052,40020-1-3R,08/05/2022,"$1,090,600.00","61,115",$17.85,1.403,"$777,334.00",,1
2018-396,D221255431,800036629,42430451,46457B-1-1,08/30/2021,"$350,000.00","51,315",$6.82,1.178,"$297,106.00",,1
2024-396,D222197599,800016768,42204052,40020-1-3R,08/05/2022,"$1,090,600.00","61,115",$17.85,1.403,"$777,334.00",,1
2024-396,D222009729,800060695,42151617,21336-1-1,01/07/2022,"$450,000.00","68,825",$6.54,1.580,"$284,810.00",,1
2024-412,D221350473,80878198,41480767,37440-1-1R,12/01/2021,"$300,000.00","87,821",$3.42,2.016,"$148,803.00",,2
2030-404,D221156123,80179061,2488809,34880-15-5R1,06/01/2021,"$79,000.00","48,893",$1.62,1.122,"$70,383.00",,1
2036-324,D221310489,80843808,4219635,A1547-1E,10/21/2021,"$1,025,000.00","884,834",$1.16,20.313,"$50,460.00",,1
2036-328,D221310489,80843808,4219635,A1547-1E,10/21/2021,"$1,025,000.00","884,834",$1.16,20.313,"$50,460.00",,1
2036-404,D221129379,80462634,4515234,A1889-5,05/06/2021,"$310,000.00","262,101",$1.18,6.017,"$51,521.00",,7
2036-408,D221129379,80462634,4515234,A1889-5,05/06/2021,"$310,000.00","262,101",$1.18,6.017,"$51,521.00",,7
2036-428,D221113958,80465323,5310989,A1849-4C,04/20/2021,"$485,000.00","168,839",$2.87,3.876,"$125,128.00",,2
2042-328,D222211238,80879205,4245210,A1618-2B,08/23/2022,"$47,500.00","79,322",$0.60,1.821,"$26,085.00",,2
2042-372,D221379872,80106706,1350889,19080-6-12,12/30/2021,"$200,000.00","42,600",$4.69,0.978,"$204,507.00",,4
2042-380,D221008162,80159567,2127601,31620-9-10,01/11/2021,"$20,000.00","24,829",$0.81,0.570,"$35,088.00",,1
2042-392,D222077761,80226760,3251225,44450-16-1,03/24/2022,"$510,000.00","12,500",$40.80,0.287,"$1,777,248.00",,4
2042-404,D222120408,80089402,1078372,15780-217-31-30,05/03/2022,"$900,000.00","13,720",$65.60,0.315,"$2,857,434.00",,2
2042-404,D222099037,80150438,1922858,12600-167-1B,04/15/2022,"$995,000.00","23,681",$42.02,0.544,"$1,830,252.00",,3
2042-412,D221047194,80066429,839299,12600-82-6,01/28/2021,"$40,000.00","7,000",$5.71,0.161,"$248,914.00",,1
2042-416,D222216417,80081290,41506413,14570-10-5R1,08/31/2022,"$100,000.00","141,090",$0.71,3.239,"$30,874.00",,1
2048-348,D222085815,80871985,41360168,40961-A-2,04/01/2022,"$1,352,538.00","248,728",$5.44,5.710,"$236,871.00",,1
2048-392,D221349337,80115705,1456326,21640-18-7,11/30/2021,"$450,000.00","12,000",$37.50,0.275,"$1,633,500.00",,2
2054-348,D222085815,80871985,41360168,40961-A-2,04/01/2022,"$1,352,538.00","248,728",$5.44,5.710,"$236,871.00",,1
