B23025_001E,B23025_001EA,B23025_001M,B23025_001MA,B23025_002E,B23025_002EA,B23025_002M,B23025_002MA,B23025_003E,B23025_003EA,B23025_003M,B23025_003MA,B23025_004E,B23025_004EA,B23025_004M,B23025_004MA,B23025_005E,B23025_005EA,B23025_005M,B23025_005MA,B23025_006E,B23025_006EA,B23025_006M,B23025_006MA,B23025_007E,B23025_007EA,B23025_007M,B23025_007MA,GEO_ID,NAME,state,zip code tabulation area
2531,,417,,1307,,294,,1307,,294,,1233,,272,,74,,58,,0,,14,,1224,,272,,8600000US77831,ZCTA5 77831,48,77831
1567,,228,,878,,192,,873,,191,,794,,176,,79,,65,,5,,8,,689,,150,,8600000US77837,ZCTA5 77837,48,77837
54586,,1116,,28711,,1157,,28570,,1155,,27035,,1161,,1535,,328,,141,,92,,25875,,1204,,8600000US77840,ZCTA5 77840,48,77840
230,,151,,144,,104,,144,,104,,144,,104,,0,,14,,0,,14,,86,,56,,8600000US77969,ZCTA5 77969,48,77969
667,,139,,344,,76,,344,,76,,293,,76,,51,,28,,0,,14,,323,,107,,8600000US77990,ZCTA5 77990,48,77990
23566,,1089,,13138,,897,,13138,,897,,11301,,873,,1837,,360,,0,,29,,10428,,711,,8600000US77016,ZCTA5 77016,48,77016
21465,,919,,14286,,641,,14286,,641,,13642,,621,,644,,193,,0,,25,,7179,,557,,8600000US77018,ZCTA5 77018,48,77018
13389,,657,,7659,,547,,7659,,547,,6839,,574,,820,,272,,0,,21,,5730,,478,,8600000US77029,ZCTA5 77029,48,77029
34418,,1519,,24893,,1261,,24893,,1261,,23373,,1240,,1520,,415,,0,,29,,9525,,992,,8600000US77044,ZCTA5 77044,48,77044
13367,,944,,8734,,878,,8734,,878,,7542,,860,,1192,,382,,0,,21,,4633,,667,,8600000US77048,ZCTA5 77048,48,77048
12914,,1323,,7215,,985,,7215,,985,,6349,,941,,866,,243,,0,,21,,5699,,742,,8600000US77051,ZCTA5 77051,48,77051
21043,,1205,,14689,,988,,14679,,986,,14094,,940,,585,,237,,10,,15,,6354,,922,,8600000US77054,ZCTA5 77054,48,77054
13473,,535,,8792,,414,,8765,,417,,8270,,391,,495,,153,,27,,37,,4681,,496,,8600000US77059,ZCTA5 77059,48,77059
20301,,860,,13501,,797,,13474,,797,,12633,,696,,841,,304,,27,,26,,6800,,530,,8600000US77062,ZCTA5 77062,48,77062
27706,,1097,,18393,,987,,18393,,987,,16843,,996,,1550,,321,,0,,29,,9313,,732,,8600000US77066,ZCTA5 77066,48,77066
32885,,1444,,22905,,1263,,22887,,1263,,21736,,1222,,1151,,348,,18,,31,,9980,,897,,8600000US77075,ZCTA5 77075,48,77075
11385,,802,,6636,,647,,6636,,647,,5922,,620,,714,,252,,0,,21,,4749,,537,,8600000US77078,ZCTA5 77078,48,77078
14057,,748,,9605,,599,,9605,,599,,9241,,583,,364,,109,,0,,21,,4452,,524,,8600000US77085,ZCTA5 77085,48,77085
152,,56,,75,,47,,75,,47,,75,,47,,0,,14,,0,,14,,77,,29,,8600000US77950,ZCTA5 77950,48,77950
6773,,284,,3938,,266,,3938,,266,,3788,,271,,150,,96,,0,,19,,2835,,289,,8600000US77957,ZCTA5 77957,48,77957
1305,,208,,744,,139,,744,,139,,731,,138,,13,,14,,0,,14,,561,,111,,8600000US77975,ZCTA5 77975,48,77975
14001,,444,,8657,,492,,8657,,492,,8168,,529,,489,,167,,0,,21,,5344,,451,,8600000US77979,ZCTA5 77979,48,77979
368,,182,,219,,144,,219,,144,,205,,144,,14,,21,,0,,14,,149,,85,,8600000US77988,ZCTA5 77988,48,77988
1615,,468,,815,,287,,740,,279,,651,,250,,89,,88,,75,,91,,800,,276,,8600000US77482,ZCTA5 77482,48,77482
8435,,858,,5609,,697,,5609,,697,,5401,,674,,208,,110,,0,,21,,2826,,408,,8600000US77484,ZCTA5 77484,48,77484
5759,,462,,3426,,466,,3426,,466,,3145,,455,,281,,146,,0,,19,,2333,,260,,8600000US77486,ZCTA5 77486,48,77486
27021,,1180,,17308,,888,,17298,,886,,15214,,892,,2084,,346,,10,,25,,9713,,741,,8600000US77506,ZCTA5 77506,48,77506
8019,,805,,5288,,725,,5288,,725,,4939,,729,,349,,156,,0,,21,,2731,,445,,8600000US77518,ZCTA5 77518,48,77518
26393,,1056,,16317,,723,,16317,,723,,14846,,706,,1471,,246,,0,,29,,10076,,750,,8600000US77520,ZCTA5 77520,48,77520
23860,,861,,14572,,772,,14448,,787,,13667,,785,,781,,239,,124,,118,,9288,,668,,8600000US77532,ZCTA5 77532,48,77532
762,,248,,418,,189,,418,,189,,343,,123,,75,,91,,0,,14,,344,,118,,8600000US77533,ZCTA5 77533,48,77533
13596,,654,,8392,,603,,8392,,603,,7605,,538,,787,,230,,0,,21,,5204,,496,,8600000US77541,ZCTA5 77541,48,77541
76,,53,,49,,45,,49,,45,,49,,45,,0,,14,,0,,14,,27,,18,,8600000US77561,ZCTA5 77561,48,77561
7040,,932,,4390,,657,,4360,,653,,4145,,613,,215,,136,,30,,45,,2650,,554,,8600000US77565,ZCTA5 77565,48,77565
1093,,198,,526,,135,,526,,135,,508,,134,,18,,14,,0,,14,,567,,137,,8600000US77577,ZCTA5 77577,48,77577
18071,,395,,12418,,444,,12407,,445,,11958,,429,,449,,155,,11,,17,,5653,,416,,8600000US77586,ZCTA5 77586,48,77586
21361,,1023,,16406,,994,,16318,,999,,15298,,949,,1020,,299,,88,,71,,4955,,538,,8600000US77598,ZCTA5 77598,48,77598
7575,,713,,3642,,543,,3642,,543,,3404,,504,,238,,154,,0,,19,,3933,,521,,8600000US77612,ZCTA5 77612,48,77612
12319,,403,,7516,,376,,7491,,380,,6901,,409,,590,,192,,25,,33,,4803,,384,,8600000US77619,ZCTA5 77619,48,77619
15495,,3450,,5552,,606,,5552,,606,,5239,,579,,313,,133,,0,,21,,9943,,3335,,8600000US77002,ZCTA5 77002,48,77002
20476,,1211,,12878,,965,,12878,,965,,12236,,957,,642,,198,,0,,25,,7598,,778,,8600000US77091,ZCTA5 77091,48,77091
29705,,802,,17591,,723,,17576,,723,,16970,,732,,606,,133,,15,,23,,12114,,639,,8600000US77024,ZCTA5 77024,48,77024
55003,,1383,,38313,,1277,,38255,,1277,,35673,,1272,,2582,,444,,58,,95,,16690,,976,,8600000US77036,ZCTA5 77036,48,77036
1194,,292,,901,,276,,901,,276,,890,,275,,11,,22,,0,,14,,293,,133,,8600000US77046,ZCTA5 77046,48,77046
25964,,1208,,18623,,1055,,18623,,1055,,17087,,1047,,1536,,404,,0,,29,,7341,,662,,8600000US77049,ZCTA5 77049,48,77049
19288,,957,,13212,,806,,13197,,807,,12396,,842,,801,,244,,15,,23,,6076,,528,,8600000US77061,ZCTA5 77061,48,77061
29366,,1180,,20731,,1035,,20707,,1031,,19759,,982,,948,,296,,24,,39,,8635,,872,,8600000US77073,ZCTA5 77073,48,77073
25423,,1210,,15818,,974,,15818,,974,,15331,,969,,487,,166,,0,,29,,9605,,888,,8600000US77076,ZCTA5 77076,48,77076
24654,,1074,,16360,,886,,16360,,886,,15787,,820,,573,,182,,0,,29,,8294,,650,,8600000US77079,ZCTA5 77079,48,77079
34080,,1423,,23794,,1226,,23794,,1226,,22653,,1208,,1141,,279,,0,,29,,10286,,778,,8600000US77080,ZCTA5 77080,48,77080
27711,,1135,,17271,,964,,17271,,964,,16177,,922,,1094,,265,,0,,29,,10440,,698,,8600000US77087,ZCTA5 77087,48,77087
394,,166,,223,,126,,223,,126,,223,,126,,0,,14,,0,,14,,171,,88,,8600000US75421,ZCTA5 75421,48,75421
2509,,376,,1453,,274,,1453,,274,,1345,,251,,108,,79,,0,,14,,1056,,216,,8600000US75453,ZCTA5 75453,48,75453
12403,,644,,6343,,493,,6338,,495,,5971,,481,,367,,117,,5,,12,,6060,,499,,8600000US75474,ZCTA5 75474,48,75474
964,,290,,617,,255,,617,,255,,603,,254,,14,,15,,0,,14,,347,,119,,8600000US75477,ZCTA5 75477,48,75477
