geoid,name,B08006001,"B08006001, Error",B08006002,"B08006002, Error",B08006003,"B08006003, Error",B08006004,"B08006004, Error",B08006005,"B08006005, Error",B08006006,"B08006006, Error",B08006007,"B08006007, Error",B08006008,"B08006008, Error",B08006009,"B08006009, Error",B08006010,"B08006010, Error",B08006011,"B08006011, Error",B08006012,"B08006012, Error",B08006013,"B08006013, Error",B08006014,"B08006014, Error",B08006015,"B08006015, Error",B08006016,"B08006016, Error",B08006017,"B08006017, Error",B08006018,"B08006018, Error",B08006019,"B08006019, Error",B08006020,"B08006020, Error",B08006021,"B08006021, Error",B08006022,"B08006022, Error",B08006023,"B08006023, Error",B08006024,"B08006024, Error",B08006025,"B08006025, Error",B08006026,"B08006026, Error",B08006027,"B08006027, Error",B08006028,"B08006028, Error",B08006029,"B08006029, Error",B08006030,"B08006030, Error",B08006031,"B08006031, Error",B08006032,"B08006032, Error",B08006033,"B08006033, Error",B08006034,"B08006034, Error",B08006035,"B08006035, Error",B08006036,"B08006036, Error",B08006037,"B08006037, Error",B08006038,"B08006038, Error",B08006039,"B08006039, Error",B08006040,"B08006040, Error",B08006041,"B08006041, Error",B08006042,"B08006042, Error",B08006043,"B08006043, Error",B08006044,"B08006044, Error",B08006045,"B08006045, Error",B08006046,"B08006046, Error",B08006047,"B08006047, Error",B08006048,"B08006048, Error",B08006049,"B08006049, Error",B08006050,"B08006050, Error",B08006051,"B08006051, Error"
01000US,United States,156703620,162028,125702784,154026,112314704,110485,13388082,63535,10028648,44927,1986667,20807,1372767,13136,5945723,20776,2822406,15418,2284420,12379,637649,7983,137101,3452,64147,2112,722251,7359,3807792,16416,2208388,15616,18316684,46431,83475536,85412,67657760,85914,60725464,73911,6932299,27873,5165360,20726,1003580,10507,763359,8218,3000670,12954,1357549,10527,1158834,9084,369859,5376,76449,2417,37979,1598,515531,5685,2037694,12165,1280640,10217,8983243,26433,73228080,87239,58045024,79120,51589240,53010,6455783,42193,4863288,28539,983087,13858,609408,7571,2945053,14551,1464857,10325,1125586,8949,267790,4191,60652,2038,26168,1428,206720,4044,1770098,12421,927748,8706,9333442,32042
31000US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",3857340,10022,3192985,11438,2831685,12651,361300,6695,265824,6322,57659,2766,37817,2419,35775,1959,23508,1641,3730,619,4034,628,4163,590,340,156,5347,841,47842,2339,48666,2503,526725,7323,2104874,6053,1765486,7130,1571809,8703,193677,4782,138897,4460,31686,1835,23094,1638,19109,1240,12091,1047,2312,521,2046,365,2447,385,213,110,4027,800,26558,1694,28186,1770,261508,4518,1752466,7940,1427499,8447,1259876,8399,167623,3745,126927,3243,25973,1596,14723,1332,16666,1294,11417,1038,1418,311,1988,476,1716,364,127,99,1320,311,21284,1367,20480,1589,265217,5519
33000US206,"Dallas-Fort Worth, TX-OK CSA",4069209,10079,3381891,11436,2998656,12465,383235,6973,282994,6498,60068,2782,40173,2353,36211,1979,23772,1662,3745,623,4034,628,4273,616,387,178,5574,823,50882,2394,50740,2510,543911,7480,2220347,5813,1869205,6999,1663586,8620,205619,5015,148283,4637,32814,1866,24522,1613,19456,1262,12279,1070,2327,521,2046,365,2544,418,260,136,4207,791,28253,1709,29694,1773,269532,4581,1848862,8190,1512686,8779,1335070,8645,177616,3741,134711,3223,27254,1584,15651,1328,16755,1289,11493,1033,1418,311,1988,476,1729,365,127,99,1367,309,22629,1402,21046,1590,274379,5543
86000US75001,"75001",11643,703,9128,660,8485,674,643,238,533,223,69,65,41,53,298,155,271,153,20,35,7,11,0,23,0,23,0,23,170,117,201,146,1846,397,6056,582,4796,520,4499,495,297,171,247,163,9,23,41,53,68,64,68,64,0,23,0,23,0,23,0,23,0,23,83,75,147,134,962,237,5587,479,4332,424,3986,440,346,170,286,152,60,59,0,23,230,136,203,130,20,35,7,11,0,23,0,23,0,23,87,92,54,55,884,304
86000US75002,"75002",35454,1477,27357,1679,24699,1638,2658,610,1907,487,519,292,232,196,180,92,0,35,47,60,79,69,54,45,0,35,0,35,223,156,186,107,7508,969,20155,1007,15242,1059,13731,993,1511,460,1017,321,370,289,124,137,127,73,0,35,47,60,26,41,54,45,0,35,0,35,199,154,129,92,4458,654,15299,1159,12115,1113,10968,1075,1147,295,890,261,149,110,108,94,53,59,0,35,0,35,53,59,0,35,0,35,0,35,24,24,57,60,3050,619
86000US75006,"75006",26781,817,22694,997,20565,907,2129,458,1621,416,355,138,153,127,266,119,90,64,27,30,94,71,55,68,0,31,14,22,208,94,174,84,3425,531,14519,761,12316,781,11112,740,1204,325,884,295,230,99,90,76,178,104,34,41,27,30,62,59,55,68,0,31,14,22,58,53,109,78,1844,355,12262,689,10378,653,9453,616,925,266,737,256,125,74,63,64,88,62,56,55,0,31,32,37,0,31,0,31,0,31,150,96,65,50,1581,400
86000US75007,"75007",32021,1185,24980,1095,22722,969,2258,519,1802,458,280,164,176,185,616,186,299,137,91,69,98,49,128,93,0,35,0,35,279,135,333,142,5813,718,17267,747,13946,650,12701,674,1245,403,1059,384,119,82,67,75,195,101,134,64,43,52,11,16,7,13,0,35,0,35,192,105,138,77,2796,415,14754,816,11034,797,10021,695,1013,279,743,233,161,130,109,113,421,161,165,122,48,49,87,48,121,90,0,35,0,35,87,69,195,110,3017,460
86000US75009,"75009",13278,1281,9929,1407,9002,1183,927,469,829,446,48,58,50,76,50,59,50,59,0,28,0,28,0,28,0,28,0,28,14,25,160,211,3125,665,7974,957,6228,976,5679,822,549,412,499,404,0,28,50,76,26,43,26,43,0,28,0,28,0,28,0,28,0,28,14,25,160,211,1546,381,5304,728,3701,774,3323,805,378,247,330,235,48,58,0,28,24,41,24,41,0,28,0,28,0,28,0,28,0,28,0,28,0,28,1579,460
86000US75010,"75010",19047,997,13755,886,12536,765,1219,378,829,303,230,188,160,146,147,82,0,31,68,43,0,31,79,77,0,31,158,141,64,37,394,252,4529,724,9430,732,7050,642,6369,568,681,249,481,209,76,84,124,118,57,44,0,31,41,36,0,31,16,27,0,31,122,135,43,34,251,208,1907,385,9617,681,6705,570,6167,544,538,207,348,157,154,127,36,57,90,66,0,31,27,31,0,31,63,62,0,31,36,47,21,26,143,141,2622,556
86000US75013,"75013",25432,1705,18740,1609,17237,1502,1503,420,1120,362,291,184,92,80,239,170,61,97,123,130,10,17,45,58,0,31,13,21,133,112,151,97,6156,1005,14579,1063,10577,1077,9991,1064,586,187,397,165,123,85,66,59,211,163,61,97,123,130,10,17,17,28,0,31,13,21,123,110,106,88,3549,672,10853,968,8163,920,7246,901,917,346,723,316,168,122,26,31,28,32,0,31,0,31,0,31,28,32,0,31,0,31,10,17,45,43,2607,516
