B08301_001E,B08301_001EA,B08301_001M,B08301_001MA,B08301_002E,B08301_002EA,B08301_002M,B08301_002MA,B08301_003E,B08301_003EA,B08301_003M,B08301_003MA,B08301_004E,B08301_004EA,B08301_004M,B08301_004MA,B08301_005E,B08301_005EA,B08301_005M,B08301_005MA,B08301_006E,B08301_006EA,B08301_006M,B08301_006MA,B08301_007E,B08301_007EA,B08301_007M,B08301_007MA,B08301_008E,B08301_008EA,B08301_008M,B08301_008MA,B08301_009E,B08301_009EA,B08301_009M,B08301_009MA,B08301_010E,B08301_010EA,B08301_010M,B08301_010MA,B08301_011E,B08301_011EA,B08301_011M,B08301_011MA,B08301_012E,B08301_012EA,B08301_012M,B08301_012MA,B08301_013E,B08301_013EA,B08301_013M,B08301_013MA,B08301_014E,B08301_014EA,B08301_014M,B08301_014MA,B08301_015E,B08301_015EA,B08301_015M,B08301_015MA,B08301_016E,B08301_016EA,B08301_016M,B08301_016MA,B08301_017E,B08301_017EA,B08301_017M,B08301_017MA,B08301_018E,B08301_018EA,B08301_018M,B08301_018MA,B08301_019E,B08301_019EA,B08301_019M,B08301_019MA,B08301_020E,B08301_020EA,B08301_020M,B08301_020MA,B08301_021E,B08301_021EA,B08301_021M,B08301_021MA,GEO_ID,NAME,state,place
4492,,411,,4166,,450,,3490,,465,,676,,229,,483,,166,,115,,116,,58,,70,,20,,26,,0,,19,,23,,33,,23,,33,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,4,,8,,0,,19,,43,,54,,36,,53,,220,,131,,1600000US4846440,"Manor city, Texas",48,46440
66344,,1399,,59686,,1511,,53128,,1500,,6558,,992,,5030,,848,,1128,,460,,256,,144,,121,,92,,23,,34,,405,,249,,294,,218,,0,,32,,111,,114,,0,,32,,0,,32,,15,,23,,127,,75,,219,,187,,639,,260,,235,,147,,5018,,629,,1600000US4863500,"Round Rock city, Texas",48,63500
1177,,174,,874,,139,,822,,127,,52,,72,,47,,72,,5,,10,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,18,,15,,8,,9,,277,,116,,1600000US4872578,"The Hills village, Texas",48,72578
272,,121,,250,,118,,234,,119,,16,,25,,0,,14,,16,,25,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,11,,16,,11,,20,,0,,14,,1600000US4808260,"Big Wells city, Texas",48,08260
4263,,298,,3935,,288,,3538,,292,,397,,151,,337,,152,,30,,28,,18,,26,,12,,18,,0,,19,,42,,46,,0,,19,,16,,24,,26,,41,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,23,,27,,88,,88,,175,,102,,1600000US4865408,"Sanger city, Texas",48,65408
110,,43,,99,,39,,93,,39,,6,,7,,6,,7,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,5,,6,,10,,1,,2,,1600000US4805084,"Avinger town, Texas",48,05084
252,,64,,248,,64,,210,,55,,38,,24,,20,,13,,15,,19,,0,,14,,3,,4,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,4,,4,,1600000US4852902,"Oak Grove town, Texas",48,52902
5838,,386,,5495,,383,,5229,,402,,266,,118,,266,,118,,0,,21,,0,,21,,0,,21,,0,,21,,45,,43,,45,,43,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,5,,11,,2,,6,,38,,30,,38,,32,,215,,111,,1600000US4858940,"Port Neches city, Texas",48,58940
1103,,175,,976,,175,,819,,167,,157,,84,,129,,68,,0,,14,,28,,45,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,17,,19,,37,,48,,73,,53,,1600000US4854048,"Onalaska city, Texas",48,54048
108,,59,,105,,60,,90,,55,,15,,19,,12,,18,,0,,14,,3,,7,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,1,,4,,2,,5,,1600000US4853154,"Oak Ridge town (Cooke County), Texas",48,53154
