Estimate Total:,Annotation of Estimate Total:,Margin of Error Total:,Annotation of Margin of Error Total:,"Estimate Total: Car, truck, or van:","Annotation of Estimate Total: Car, truck, or van:","Margin of Error Total: Car, truck, or van:","Annotation of Margin of Error Total: Car, truck, or van:","Estimate Total: Car, truck, or van: Drove alone","Annotation of Estimate Total: Car, truck, or van: Drove alone","Margin of Error Total: Car, truck, or van: Drove alone","Annotation of Margin of Error Total: Car, truck, or van: Drove alone","Estimate Total: Car, truck, or van: Carpooled:","Annotation of Estimate Total: Car, truck, or van: Carpooled:","Margin of Error Total: Car, truck, or van: Carpooled:","Annotation of Margin of Error Total: Car, truck, or van: Carpooled:","Estimate Total: Car, truck, or van: Carpooled: In 2-person carpool","Annotation of Estimate Total: Car, truck, or van: Carpooled: In 2-person carpool","Margin of Error Total: Car, truck, or van: Carpooled: In 2-person carpool","Annotation of Margin of Error Total: Car, truck, or van: Carpooled: In 2-person carpool","Estimate Total: Car, truck, or van: Carpooled: In 3-person carpool","Annotation of Estimate Total: Car, truck, or van: Carpooled: In 3-person carpool","Margin of Error Total: Car, truck, or van: Carpooled: In 3-person carpool","Annotation of Margin of Error Total: Car, truck, or van: Carpooled: In 3-person carpool","Estimate Total: Car, truck, or van: Carpooled: In 4-person carpool","Annotation of Estimate Total: Car, truck, or van: Carpooled: In 4-person carpool","Margin of Error Total: Car, truck, or van: Carpooled: In 4-person carpool","Annotation of Margin of Error Total: Car, truck, or van: Carpooled: In 4-person carpool","Estimate Total: Car, truck, or van: Carpooled: In 5- or 6-person carpool","Annotation of Estimate Total: Car, truck, or van: Carpooled: In 5- or 6-person carpool","Margin of Error Total: Car, truck, or van: Carpooled: In 5- or 6-person carpool","Annotation of Margin of Error Total: Car, truck, or van: Carpooled: In 5- or 6-person carpool","Estimate Total: Car, truck, or van: Carpooled: In 7-or-more-person carpool","Annotation of Estimate Total: Car, truck, or van: Carpooled: In 7-or-more-person carpool","Margin of Error Total: Car, truck, or van: Carpooled: In 7-or-more-person carpool","Annotation of Margin of Error Total: Car, truck, or van: Carpooled: In 7-or-more-person carpool",Estimate Total: Public transportation (excluding taxicab):,Annotation of Estimate Total: Public transportation (excluding taxicab):,Margin of Error Total: Public transportation (excluding taxicab):,Annotation of Margin of Error Total: Public transportation (excluding taxicab):,Estimate Total: Public transportation (excluding taxicab): Bus,Annotation of Estimate Total: Public transportation (excluding taxicab): Bus,Margin of Error Total: Public transportation (excluding taxicab): Bus,Annotation of Margin of Error Total: Public transportation (excluding taxicab): Bus,Estimate Total: Public transportation (excluding taxicab): Subway or elevated rail,Annotation of Estimate Total: Public transportation (excluding taxicab): Subway or elevated rail,Margin of Error Total: Public transportation (excluding taxicab): Subway or elevated rail,Annotation of Margin of Error Total: Public transportation (excluding taxicab): Subway or elevated rail,Estimate Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,Annotation of Estimate Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,Margin of Error Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,Annotation of Margin of Error Total: Public transportation (excluding taxicab): Long-distance train or commuter rail,"Estimate Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)","Annotation of Estimate Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)","Annotation of Margin of Error Total: Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro público in Puerto Rico)",Estimate Total: Public transportation (excluding taxicab): Ferryboat,Annotation of Estimate Total: Public transportation (excluding taxicab): Ferryboat,Margin of Error Total: Public transportation (excluding taxicab): Ferryboat,Annotation of Margin of Error Total: Public transportation (excluding taxicab): Ferryboat,Estimate Total: Taxicab,Annotation of Estimate Total: Taxicab,Margin of Error Total: Taxicab,Annotation of Margin of Error Total: Taxicab,Estimate Total: Motorcycle,Annotation of Estimate Total: Motorcycle,Margin of Error Total: Motorcycle,Annotation of Margin of Error Total: Motorcycle,Estimate Total: Bicycle,Annotation of Estimate Total: Bicycle,Margin of Error Total: Bicycle,Annotation of Margin of Error Total: Bicycle,Estimate Total: Walked,Annotation of Estimate Total: Walked,Margin of Error Total: Walked,Annotation of Margin of Error Total: Walked,Estimate Total: Other means,Annotation of Estimate Total: Other means,Margin of Error Total: Other means,Annotation of Margin of Error Total: Other means,Estimate Total: Worked from home,Annotation of Estimate Total: Worked from home,Margin of Error Total: Worked from home,Annotation of Margin of Error Total: Worked from home,GEO_ID,NAME,state,zip code tabulation area
6726,,581,,5987,,536,,5226,,473,,761,,235,,490,,176,,181,,120,,12,,14,,75,,56,,3,,5,,174,,82,,156,,77,,0,,21,,18,,20,,0,,21,,0,,21,,6,,9,,16,,18,,51,,36,,226,,117,,85,,62,,181,,80,,8600000US76104,ZCTA5 76104,48,76104
11275,,699,,9831,,649,,9391,,652,,440,,153,,335,,152,,96,,65,,0,,25,,9,,14,,0,,25,,15,,18,,15,,18,,0,,25,,0,,25,,0,,25,,0,,25,,0,,25,,18,,28,,107,,83,,346,,146,,182,,148,,776,,181,,8600000US76109,ZCTA5 76109,48,76109
10959,,775,,10541,,790,,9102,,684,,1439,,434,,1182,,381,,94,,75,,79,,72,,84,,129,,0,,25,,29,,33,,18,,29,,0,,25,,11,,15,,0,,25,,0,,25,,0,,25,,64,,57,,0,,25,,29,,37,,36,,52,,260,,135,,8600000US76134,ZCTA5 76134,48,76134
31539,,1178,,29281,,1184,,26632,,1162,,2649,,609,,2154,,554,,294,,126,,63,,53,,115,,99,,23,,33,,124,,70,,24,,26,,0,,32,,73,,54,,0,,32,,27,,42,,0,,32,,104,,67,,67,,60,,91,,78,,298,,175,,1574,,263,,8600000US76137,ZCTA5 76137,48,76137
32096,,1712,,29722,,1469,,27173,,1475,,2549,,510,,2101,,452,,265,,175,,151,,136,,32,,37,,0,,32,,126,,132,,0,,32,,26,,45,,100,,126,,0,,32,,0,,32,,0,,32,,29,,44,,0,,32,,73,,57,,96,,63,,2050,,522,,8600000US76179,ZCTA5 76179,48,76179
21105,,879,,19973,,891,,17802,,915,,2171,,403,,1681,,369,,360,,170,,41,,40,,71,,70,,18,,17,,76,,58,,0,,29,,0,,29,,39,,38,,37,,43,,0,,29,,0,,29,,52,,55,,0,,29,,138,,94,,87,,58,,779,,195,,8600000US76108,ZCTA5 76108,48,76108
12055,,675,,11331,,668,,9220,,651,,2111,,429,,1452,,338,,321,,146,,272,,225,,53,,48,,13,,17,,51,,51,,12,,16,,0,,25,,39,,48,,0,,25,,0,,25,,0,,25,,39,,32,,17,,22,,226,,157,,44,,42,,347,,159,,8600000US76114,ZCTA5 76114,48,76114
9545,,920,,8947,,921,,8035,,855,,912,,417,,745,,373,,100,,124,,48,,70,,19,,33,,0,,21,,74,,61,,41,,47,,0,,21,,33,,43,,0,,21,,0,,21,,31,,50,,24,,28,,0,,21,,20,,34,,19,,29,,430,,204,,8600000US76120,ZCTA5 76120,48,76120
6300,,805,,5981,,805,,5143,,695,,838,,372,,536,,311,,271,,183,,0,,21,,31,,49,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,16,,28,,70,,56,,233,,123,,8600000US76177,ZCTA5 76177,48,76177
24019,,1051,,22740,,1039,,20119,,1077,,2621,,523,,1640,,382,,566,,217,,297,,280,,90,,63,,28,,35,,265,,169,,208,,152,,0,,32,,57,,61,,0,,32,,0,,32,,0,,32,,13,,22,,78,,62,,83,,74,,114,,79,,726,,207,,8600000US76133,ZCTA5 76133,48,76133
3644,,443,,2941,,403,,2627,,387,,314,,156,,189,,126,,25,,27,,51,,82,,49,,64,,0,,19,,106,,75,,62,,66,,0,,19,,27,,31,,17,,26,,0,,19,,0,,19,,13,,22,,24,,27,,388,,131,,6,,11,,166,,109,,8600000US76102,ZCTA5 76102,48,76102
16388,,705,,14656,,723,,13313,,690,,1343,,357,,1172,,311,,143,,105,,5,,10,,11,,15,,12,,21,,68,,55,,68,,55,,0,,29,,0,,29,,0,,29,,0,,29,,0,,29,,0,,29,,78,,70,,284,,118,,119,,63,,1183,,302,,8600000US76107,ZCTA5 76107,48,76107
20485,,1378,,19148,,1417,,16851,,1268,,2297,,580,,2000,,582,,174,,82,,32,,40,,88,,112,,3,,6,,30,,48,,0,,29,,0,,29,,30,,48,,0,,29,,0,,29,,17,,27,,14,,24,,50,,60,,327,,227,,271,,194,,628,,213,,8600000US76131,ZCTA5 76131,48,76131
13563,,974,,12845,,970,,10933,,925,,1912,,480,,1433,,384,,380,,233,,68,,66,,29,,31,,2,,4,,119,,103,,119,,103,,0,,29,,0,,29,,0,,29,,0,,29,,0,,29,,9,,15,,22,,35,,106,,86,,53,,44,,409,,179,,8600000US76140,ZCTA5 76140,48,76140
4109,,350,,3603,,370,,3278,,361,,325,,126,,272,,119,,53,,45,,0,,19,,0,,19,,0,,19,,134,,103,,46,,38,,0,,19,,78,,93,,10,,20,,0,,19,,41,,33,,0,,19,,0,,19,,206,,122,,47,,50,,78,,61,,8600000US76155,ZCTA5 76155,48,76155
